DocumentName,ColorNumber,RGB1,RGB2,Number_of_caracter,Area,Area_of_letter,Proportion_of_area_letter,Target
plan-actions-climat-energie-bd-0.jpeg,33,"(189, 183, 107)","(218, 165, 32)",292,24171498,8584359,0.36,1
Diagnostics programme immo L'Etang la ville-21.jpeg,17,"(255, 250, 250)","(119, 136, 153)",505,24171498,365615,0.02,1
JWSTScienceFunPad-2.jpeg,5,"(47, 79, 79)","(255, 250, 250)",264,11687500,4508336,0.39,1
WebbMediaKit-0.jpeg,15,"(25, 25, 112)","(47, 79, 79)",65,23375000,27961,0.0,1
immobilier Upside L'atelier -0.jpeg,24,"(255, 250, 250)","(245, 255, 250)",1064,24171498,9869,0.0,1
TSP_SRT_Tome3_WEB-70.jpeg,5,"(128, 0, 0)","(178, 34, 34)",1,21972210,0,0.0,1
guide_plan_climat_energie_albi_1-76.jpeg,22,"(102, 205, 170)","(224, 255, 255)",120,24177345,308093,0.01,1
HADOPI_RA_2014-2015-129.jpeg,6,"(255, 250, 250)","(230, 230, 250)",1743,21972210,3149931,0.14,1
WebbMediaKit-11.jpeg,18,"(47, 79, 79)","(255, 250, 250)",724,23375000,9194541,0.39,1
plan-actions-climat-energie-bd-91.jpeg,20,"(230, 230, 250)","(255, 250, 250)",1304,24171498,7117322,0.29,1
7750-144.jpeg,41,"(255, 250, 250)","(245, 255, 250)",652,24171498,8579846,0.35,1
JWSTScienceFunPad-35.jpeg,5,"(255, 250, 250)","(230, 230, 250)",169,11687500,5193943,0.44,1
guide_plan_climat_energie_albi_1-38.jpeg,42,"(255, 250, 250)","(248, 248, 255)",564,24177345,2460484,0.1,1
data_detection_images_1-33.jpeg,4,"(255, 250, 250)","(248, 248, 255)",719,23375000,970725,0.04,1
Apple_SR_2020_Progress_Report_FR-97.jpeg,21,"(47, 79, 79)","(119, 136, 153)",3,23375000,22431500,0.96,1
HADOPI_RA_2014-2015-128.jpeg,7,"(255, 250, 250)","(248, 248, 255)",1823,21972210,3097315,0.14,1
adaptation-changement-climatique-fiches-collectivites-36.jpeg,35,"(135, 206, 235)","(47, 79, 79)",1668,24175632,8199833,0.34,1
JWSTScienceFunPad-14.jpeg,3,"(255, 250, 250)","(230, 230, 250)",74,11687500,411422,0.04,1
JWSTScienceFunPad-43.jpeg,4,"(255, 250, 250)","(230, 230, 250)",64,11687500,7100504,0.61,1
immobilier Upside L'atelier -16.jpeg,7,"(255, 250, 250)","(248, 248, 255)",289,24171498,2514204,0.1,1
WebbMediaKit-15.jpeg,13,"(47, 79, 79)","(70, 130, 180)",574,23375000,9199464,0.39,1
HADOPI_RA_2014-2015-130.jpeg,6,"(255, 250, 250)","(230, 230, 250)",1979,21972210,1660080,0.08,1
JWSTScienceFunPad-28.jpeg,3,"(255, 250, 250)","(230, 230, 250)",277,11687500,529016,0.05,1
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-1.jpeg,31,"(230, 230, 250)","(248, 248, 255)",802,24171498,5642438,0.23,1
adapter_son_territoire_au_changement_climatique_Guide-23.jpeg,39,"(240, 255, 240)","(143, 188, 143)",1812,17790880,3890123,0.22,1
rapport_d_activite_2021_de_la_direction_generale_des_entreprises-8.jpeg,21,"(47, 79, 79)","(230, 230, 250)",1734,21972210,11005487,0.5,1
HADOPI_RA_2014-2015-140.jpeg,2,"(112, 128, 144)","(119, 136, 153)",37,21972210,972526,0.04,1
plan-actions-climat-energie-bd-132.jpeg,25,"(230, 230, 250)","(255, 250, 250)",1644,24171498,6831098,0.28,1
Apple_SR_2020_Progress_Report_FR-99.jpeg,11,"(255, 250, 250)","(255, 255, 240)",429,23375000,457543,0.02,1
guide_plan_climat_energie_albi_1-13.jpeg,9,"(230, 230, 250)","(47, 79, 79)",852,24177345,8691565,0.36,1
ONERC_Rapport_2010_villes_et_adaptation-20.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2313,24175632,5344151,0.22,1
data_detection_images_1-6.jpeg,22,"(255, 250, 250)","(119, 136, 153)",105,23375000,10426060,0.45,1
Apple_SR_2020_Progress_Report_FR-0.jpeg,40,"(119, 136, 153)","(47, 79, 79)",43,23375000,23449116,1.0,1
WebbMediaKit-36.jpeg,21,"(47, 79, 79)","(0, 128, 128)",25,23375000,0,0.0,1
TSP_SRT_Tome3_WEB-51.jpeg,8,"(255, 250, 240)","(255, 250, 250)",3,21972210,20701320,0.94,1
HADOPI_RA_2014-2015-71.jpeg,21,"(255, 250, 250)","(245, 255, 250)",2184,21972210,3590655,0.16,1
TSP_SRT_Tome3_WEB-64.jpeg,8,"(128, 0, 0)","(178, 34, 34)",68,21972210,17986901,0.82,1
HADOPI_RA_2014-2015-47.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2037,21972210,3344790,0.15,1
TSP_SRT_Tome3_WEB-6.jpeg,15,"(128, 0, 0)","(178, 34, 34)",219,21972210,2982012,0.14,1
immobilier Upside L'atelier -6.jpeg,14,"(255, 250, 250)","(248, 248, 255)",1194,24171498,3119596,0.13,1
plan-actions-climat-energie-bd-118.jpeg,27,"(230, 230, 250)","(255, 250, 250)",1843,24171498,7365404,0.3,1
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-0.jpeg,34,"(230, 230, 250)","(143, 188, 143)",66,24171498,10627894,0.44,1
guide_plan_climat_energie_albi_1-22.jpeg,29,"(230, 230, 250)","(248, 248, 255)",851,24177345,8476639,0.35,1
plan-actions-climat-energie-bd-109.jpeg,28,"(230, 230, 250)","(255, 250, 250)",1938,24171498,8769019,0.36,1
CPCNRS-orionjwst-FRweb-4.jpeg,27,"(47, 79, 79)","(255, 250, 250)",1157,24177345,6633970,0.27,1
Apple_SR_2020_Progress_Report_FR-62.jpeg,17,"(47, 79, 79)","(230, 230, 250)",505,23375000,14023846,0.6,1
CPCNRS-orionjwst-FRweb-2.jpeg,25,"(255, 250, 250)","(47, 79, 79)",1431,24177345,6923609,0.29,1
Apple_SR_2020_Progress_Report_FR-38.jpeg,16,"(47, 79, 79)","(119, 136, 153)",952,23375000,22586116,0.97,1
HADOPI_RA_2014-2015-114.jpeg,21,"(250, 240, 230)","(230, 230, 250)",1849,21972210,7707779,0.35,1
WebbMediaKit-1.jpeg,32,"(70, 130, 180)","(100, 149, 237)",444,23375000,15200343,0.65,1
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-8.jpeg,37,"(230, 230, 250)","(255, 250, 250)",1838,24171498,4113150,0.17,1
adapter_son_territoire_au_changement_climatique_Guide-36.jpeg,33,"(143, 188, 143)","(245, 245, 220)",857,17790880,5783324,0.33,1
Apple_SR_2020_Progress_Report_FR-78.jpeg,15,"(47, 79, 79)","(119, 136, 153)",68,23375000,16945184,0.72,1
TSP_SRT_Tome3_WEB-5.jpeg,6,"(255, 69, 0)","(128, 0, 0)",39,21972210,21991762,1.0,1
JWSTScienceFunPad-29.jpeg,5,"(255, 250, 250)","(248, 248, 255)",120,11687500,6461557,0.55,1
immobilier Upside L'atelier -5.jpeg,18,"(255, 250, 250)","(176, 196, 222)",1695,24171498,5045153,0.21,1
HADOPI_RA_2014-2015-132.jpeg,21,"(255, 250, 250)","(248, 248, 255)",1194,21972210,2673556,0.12,1
HADOPI_RA_2014-2015-18.jpeg,8,"(210, 105, 30)","(205, 133, 63)",18,21972210,415443,0.02,1
guide_plan_climat_energie_albi_1-41.jpeg,23,"(102, 205, 170)","(224, 255, 255)",85,24177345,420950,0.02,1
HADOPI_RA_2014-2015-110.jpeg,10,"(160, 82, 45)","(205, 92, 92)",46,21972210,1366646,0.06,1
guide_plan_climat_energie_albi_1-73.jpeg,24,"(102, 205, 170)","(224, 255, 255)",79,24177345,0,0.0,1
rapport_d_activite_2021_de_la_direction_generale_des_entreprises-27.jpeg,32,"(255, 250, 240)","(255, 245, 238)",195,21972210,3257958,0.15,1
JWSTScienceFunPad-34.jpeg,3,"(255, 250, 250)","(230, 230, 250)",495,11687500,3096580,0.26,1
plan-actions-climat-energie-bd-95.jpeg,17,"(255, 250, 250)","(100, 149, 237)",508,24171498,6176604,0.26,1
TSP_SRT_Tome3_WEB-27.jpeg,22,"(47, 79, 79)","(255, 250, 250)",1826,21972210,7638416,0.35,1
JWSTScienceFunPad-18.jpeg,5,"(255, 250, 250)","(230, 230, 250)",107,11687500,7585200,0.65,1
adapter_son_territoire_au_changement_climatique_Guide-41.jpeg,39,"(47, 79, 79)","(46, 139, 87)",3,17790880,0,0.0,1
data_detection_images_1-17.jpeg,13,"(255, 250, 250)","(250, 240, 230)",993,23375000,2259472,0.1,1
JWSTScienceFunPad-23.jpeg,4,"(255, 250, 250)","(230, 230, 250)",120,11687500,6578160,0.56,1
Risques et pollution Programme immo  Clichy-12.jpeg,21,"(255, 250, 250)","(245, 255, 250)",868,24171498,8939794,0.37,1
JWSTScienceFunPad-13.jpeg,5,"(255, 250, 250)","(230, 230, 250)",153,11687500,3097424,0.27,1
plan-actions-climat-energie-bd-24.jpeg,39,"(255, 250, 250)","(230, 230, 250)",821,24171498,4554325,0.19,1
HADOPI_RA_2014-2015-56.jpeg,30,"(255, 250, 250)","(248, 248, 255)",1935,21972210,3979639,0.18,1
plan-actions-climat-energie-bd-83.jpeg,33,"(230, 230, 250)","(255, 250, 250)",4255,24171498,4868761,0.2,0
data_detection_images_1-23.jpeg,11,"(255, 250, 250)","(250, 240, 230)",1059,23375000,1058655,0.05,0
guide_plan_climat_energie_albi_1-34.jpeg,6,"(255, 250, 250)","(230, 230, 250)",1948,24177345,2602885,0.11,0
plan-actions-climat-energie-bd-57.jpeg,14,"(230, 230, 250)","(255, 250, 250)",2820,24171498,7137586,0.3,0
7750-108.jpeg,10,"(255, 250, 250)","(230, 230, 250)",3028,24171498,3251817,0.13,0
rapport_d_activite_2021_de_la_direction_generale_des_entreprises-1.jpeg,38,"(255, 245, 238)","(253, 245, 230)",2204,21972210,10310639,0.47,0
ONERC_Rapport_2010_villes_et_adaptation-31.jpeg,16,"(255, 250, 250)","(248, 248, 255)",3293,24175632,4909718,0.2,0
ONERC_Rapport_2010_villes_et_adaptation-141.jpeg,9,"(255, 250, 250)","(245, 255, 250)",2242,24175632,5849302,0.24,0
7750-152.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2352,24171498,2254270,0.09,0
Risques et pollution Programme immo  Clichy-13.jpeg,3,"(255, 250, 250)","(230, 230, 250)",1107,24171498,2408232,0.1,0
TSP_SRT_Tome3_WEB-48.jpeg,45,"(255, 250, 250)","(230, 230, 250)",4036,21972210,6276950,0.29,0
etat_des_lieux_des_connaissances__cle069e48-2.jpeg,29,"(230, 230, 250)","(248, 248, 255)",541,24163936,8078853,0.33,0
HADOPI_RA_2014-2015-62.jpeg,11,"(255, 250, 250)","(230, 230, 250)",3062,21972210,2873316,0.13,0
HADOPI_RA_2014-2015-43.jpeg,14,"(255, 250, 250)","(230, 230, 250)",2679,21972210,2322267,0.11,0
plan-actions-climat-energie-bd-96.jpeg,7,"(240, 248, 255)","(248, 248, 255)",1416,24171498,1745946,0.07,0
7750-47.jpeg,5,"(255, 250, 250)","(230, 230, 250)",4324,24171498,4545290,0.19,0
plan-actions-climat-energie-bd-114.jpeg,29,"(230, 230, 250)","(250, 240, 230)",3109,24171498,6549918,0.27,0
Apple_SR_2020_Progress_Report_FR-16.jpeg,3,"(230, 230, 250)","(255, 250, 250)",2609,23375000,3271573,0.14,0
ONERC_Rapport_2010_villes_et_adaptation-105.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3353,24175632,4371131,0.18,0
HADOPI_RA_2014-2015-112.jpeg,9,"(255, 250, 250)","(230, 230, 250)",2616,21972210,2543775,0.12,0
TSP_SRT_Tome3_WEB-55.jpeg,16,"(255, 250, 250)","(250, 240, 230)",3114,21972210,3521172,0.16,0
ONERC_Rapport_2010_villes_et_adaptation-47.jpeg,44,"(255, 250, 250)","(230, 230, 250)",2677,24175632,8122265,0.34,0
ONERC_Rapport_2010_villes_et_adaptation-153.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3028,24175632,4226097,0.17,0
HADOPI_RA_2014-2015-7.jpeg,15,"(230, 230, 250)","(250, 240, 230)",3277,21972210,5732861,0.26,0
adaptation-changement-climatique-fiches-collectivites-25.jpeg,35,"(230, 230, 250)","(135, 206, 235)",2858,24175632,6742513,0.28,0
ONERC_Rapport_2010_villes_et_adaptation-156.jpeg,3,"(255, 250, 250)","(230, 230, 250)",128,24175632,196358,0.01,0
WebbMediaKit-50.jpeg,5,"(255, 250, 250)","(230, 230, 250)",1385,23375000,2669568,0.11,0
Risques et pollution Programme immo  Clichy-15.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2480,24171498,3950089,0.16,0
ONERC_Rapport_2010_villes_et_adaptation-89.jpeg,0,,,4,24175632,3366,0.0,0
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-3.jpeg,18,"(230, 230, 250)","(250, 240, 230)",1964,24171498,5571573,0.23,0
guide_plan_climat_energie_albi_1-63.jpeg,16,"(255, 250, 250)","(230, 230, 250)",1329,24177345,8795050,0.36,0
HADOPI_RA_2014-2015-8.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4516,21972210,4194448,0.19,0
TSP_SRT_Tome3_WEB-4.jpeg,12,"(255, 250, 250)","(255, 228, 225)",4384,21972210,4349560,0.2,0
vol1_gicc-2.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2262,24163936,4493822,0.19,0
HADOPI_RA_2014-2015-78.jpeg,21,"(230, 230, 250)","(255, 250, 250)",2958,21972210,6186195,0.28,0
HADOPI_RA_2014-2015-13.jpeg,26,"(65, 105, 225)","(255, 250, 250)",483,21972210,7059753,0.32,0
Diagnostics programme immo L'Etang la ville-23.jpeg,3,"(255, 250, 250)","(230, 230, 250)",7276,24171498,6364535,0.26,0
data_detection_images_1-11.jpeg,5,"(255, 250, 250)","(230, 230, 250)",1605,23375000,2646782,0.11,0
7750-62.jpeg,11,"(255, 250, 250)","(250, 240, 230)",2604,24171498,2852483,0.12,0
7750-181.jpeg,14,"(245, 255, 250)","(255, 250, 250)",146,24163936,2280411,0.09,0
Apple_SR_2020_Progress_Report_FR-1.jpeg,10,"(245, 245, 220)","(250, 235, 215)",223,23375000,6112492,0.26,0
ONERC_Rapport_2010_villes_et_adaptation-40.jpeg,21,"(255, 250, 250)","(135, 206, 235)",2938,24175632,12722361,0.53,0
rapport_d_activite_2021_de_la_direction_generale_des_entreprises-14.jpeg,28,"(230, 230, 250)","(255, 250, 250)",3004,21972210,7867223,0.36,0
TSP_SRT_Tome3_WEB-56.jpeg,6,"(255, 250, 250)","(250, 240, 230)",3134,21972210,3266519,0.15,0
7750-174.jpeg,25,"(255, 250, 250)","(230, 230, 250)",3173,24163936,22867243,0.95,0
7750-159.jpeg,11,"(255, 250, 250)","(250, 240, 230)",2479,24171498,2834954,0.12,0
7750-141.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3937,24171498,3366624,0.14,0
7750-145.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2901,24171498,3379014,0.14,0
ONERC_Rapport_2010_villes_et_adaptation-149.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4088,24175632,6019650,0.25,0
Apple_SR_2020_Progress_Report_FR-64.jpeg,1,"(230, 230, 250)",,2891,23375000,3490884,0.15,0
guide_plan_climat_energie_albi_1-61.jpeg,18,"(255, 250, 250)","(230, 230, 250)",1689,24177345,9765447,0.4,0
plan-actions-climat-energie-bd-37.jpeg,8,"(245, 255, 250)","(255, 250, 250)",886,24171498,1545351,0.06,0
7750-29.jpeg,7,"(255, 250, 250)","(230, 230, 250)",4418,24171498,4680662,0.19,0
Risques et pollution Programme immo  Clichy-3.jpeg,6,"(255, 250, 250)","(230, 230, 250)",1170,24171498,1687437,0.07,0
Apple_SR_2020_Progress_Report_FR-57.jpeg,3,"(255, 250, 250)","(248, 248, 255)",1652,23375000,1500752,0.06,0
plan-actions-climat-energie-bd-112.jpeg,18,"(230, 230, 250)","(255, 250, 250)",1573,24171498,2585897,0.11,0
HADOPI_RA_2014-2015-85.jpeg,3,"(230, 230, 250)","(255, 250, 250)",3914,21972210,3605782,0.16,0
data_detection_images_1-37.jpeg,3,"(255, 250, 250)","(230, 230, 250)",545,23375000,512088,0.02,0
ONERC_Rapport_2010_villes_et_adaptation-140.jpeg,6,"(230, 230, 250)","(255, 250, 250)",3491,24175632,4832947,0.2,0
TSP_SRT_Tome3_WEB-23.jpeg,23,"(255, 250, 250)","(250, 240, 230)",2335,21972210,7179015,0.33,0
7750-211.jpeg,11,"(255, 250, 250)","(250, 240, 230)",4039,24171498,4389461,0.18,0
Risques et pollution Programme immo  Clichy-37.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2307,24171498,3865857,0.16,0
rapport_d_activite_2021_de_la_direction_generale_des_entreprises-9.jpeg,5,"(255, 250, 250)","(230, 230, 250)",2899,21972210,3454023,0.16,0
ONERC_Rapport_2010_villes_et_adaptation-48.jpeg,3,"(255, 250, 250)","(230, 230, 250)",4302,24175632,5371253,0.22,0
7750-116.jpeg,18,"(255, 250, 250)","(245, 222, 179)",69,24171498,6992458,0.29,0
ONERC_Rapport_2010_villes_et_adaptation-58.jpeg,3,"(255, 250, 250)","(248, 248, 255)",1071,23375000,1307719,0.06,0
7750-157.jpeg,0,,,1,24171498,0,0.0,0
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-9.jpeg,43,"(123, 104, 238)","(106, 90, 205)",3466,24171498,13523992,0.56,0
7750-38.jpeg,21,"(255, 250, 250)","(250, 240, 230)",1614,24171498,4519106,0.19,0
adaptation-changement-climatique-fiches-collectivites-20.jpeg,28,"(135, 206, 235)","(175, 238, 238)",3193,24175632,7259114,0.3,0
plan-actions-climat-energie-bd-62.jpeg,8,"(255, 250, 250)","(248, 248, 255)",751,24171498,1188704,0.05,0
HADOPI_RA_2014-2015-134.jpeg,11,"(255, 250, 250)","(250, 240, 230)",1882,21972210,2616382,0.12,0
plan-actions-climat-energie-bd-75.jpeg,23,"(230, 230, 250)","(255, 250, 250)",2885,24171498,6337777,0.26,0
etat_des_lieux_des_connaissances__cle069e48-5.jpeg,40,"(248, 248, 255)","(230, 230, 250)",654,24163936,5609669,0.23,0
7750-214.jpeg,20,"(245, 222, 179)","(255, 250, 250)",283,24171498,7309387,0.3,0
guide_plan_climat_energie_albi_1-43.jpeg,21,"(143, 188, 143)","(245, 255, 250)",2858,24177345,5448561,0.23,0
7750-93.jpeg,5,"(255, 250, 250)","(230, 230, 250)",4257,24171498,4648628,0.19,0
guide_plan_climat_energie_albi_1-54.jpeg,17,"(255, 250, 250)","(230, 230, 250)",2277,24177345,10122062,0.42,0
7750-137.jpeg,5,"(255, 250, 250)","(230, 230, 250)",4296,24171498,4561460,0.19,0
HADOPI_RA_2014-2015-52.jpeg,36,"(255, 250, 250)","(248, 248, 255)",2291,21972210,6988879,0.32,0
vol1_gicc-50.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2734,24163936,0,0.0,0
adapter_son_territoire_au_changement_climatique_Guide-6.jpeg,60,"(255, 250, 250)","(230, 230, 250)",2411,17790880,9720327,0.55,0
Risques et pollution Programme immo  Clichy-19.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2627,24171498,4176140,0.17,0
HADOPI_RA_2014-2015-154.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4409,21972210,3943125,0.18,0
guide_plan_climat_energie_albi_1-57.jpeg,17,"(255, 250, 250)","(230, 230, 250)",1630,24177345,10287457,0.43,0
Risques et pollution programme immo Gardenia (1)-5.jpeg,4,"(255, 250, 250)","(230, 230, 250)",4380,24171498,3412505,0.14,0
guide_plan_climat_energie_albi_1-55.jpeg,17,"(255, 250, 250)","(230, 230, 250)",1904,24177345,12804903,0.53,0
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-22.jpeg,33,"(230, 230, 250)","(240, 248, 255)",2488,24171498,7858083,0.33,0
HADOPI_RA_2014-2015-158.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4335,21972210,3963640,0.18,0
adapter_son_territoire_au_changement_climatique_Guide-47.jpeg,14,"(245, 255, 250)","(240, 255, 240)",3695,17790880,4186548,0.24,0
ONERC_Rapport_2010_villes_et_adaptation-64.jpeg,3,"(255, 250, 250)","(230, 230, 250)",4585,24175632,5672085,0.23,0
WebbMediaKit-48.jpeg,4,"(230, 230, 250)","(255, 250, 250)",3293,23375000,4888674,0.21,0
7750-17.jpeg,7,"(255, 250, 250)","(230, 230, 250)",5198,24171498,5196385,0.21,0
adapter_son_territoire_au_changement_climatique_Guide-26.jpeg,26,"(230, 230, 250)","(250, 240, 230)",3047,17790880,5912964,0.33,0
WebbMediaKit-3.jpeg,5,"(255, 250, 250)","(230, 230, 250)",3028,23375000,4113622,0.18,0
Apple_SR_2020_Progress_Report_FR-112.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2474,23375000,2773441,0.12,0
ONERC_Rapport_2010_villes_et_adaptation-108.jpeg,3,"(255, 250, 250)","(255, 250, 250)",3565,24175632,4501621,0.19,0
guide_plan_climat_energie_albi_1-2.jpeg,5,"(255, 250, 250)","(230, 230, 250)",1074,24177345,1643073,0.07,0
Risques et pollution Programme immo  Clichy-33.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2492,24171498,4315812,0.18,0
2-1.jpeg,3,"(230, 230, 250)","(255, 250, 250)",3458,23375000,4005836,0.17,0
7750-82.jpeg,28,"(255, 250, 250)","(245, 255, 250)",2784,24171498,5533681,0.23,0
vol1_gicc-25.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3416,24163936,9383351,0.39,0
vol1_gicc-0.jpeg,4,"(255, 250, 250)","(230, 230, 250)",564,24163936,3792270,0.16,0
Apple_SR_2020_Progress_Report_FR-8.jpeg,4,"(255, 250, 250)","(230, 230, 250)",1622,23375000,3219889,0.14,0
HADOPI_RA_2014-2015-146.jpeg,11,"(255, 250, 250)","(245, 255, 250)",3332,21972210,3610277,0.16,0
Risques et pollution programme immo Argenteuil-5.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3778,24171498,13347108,0.55,0
7750-198.jpeg,14,"(245, 255, 250)","(102, 205, 170)",128,24163936,1848604,0.08,0
7750-122.jpeg,7,"(255, 250, 250)","(250, 240, 230)",3061,24171498,3485166,0.14,0
Apple_SR_2020_Progress_Report_FR-45.jpeg,1,"(230, 230, 250)",,1479,23375000,1851323,0.08,0
ONERC_Rapport_2010_villes_et_adaptation-115.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3787,24175632,5002345,0.21,0
guide_plan_climat_energie_albi_1-15.jpeg,18,"(230, 230, 250)","(255, 250, 250)",1730,24177345,6292855,0.26,0
Apple_SR_2020_Progress_Report_FR-92.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2189,23375000,2703633,0.12,0
7750-97.jpeg,10,"(255, 250, 250)","(250, 240, 230)",4569,24171498,4884860,0.2,0
ONERC_Rapport_2010_villes_et_adaptation-77.jpeg,3,"(255, 250, 250)","(230, 230, 250)",4825,24175632,5958235,0.25,0
HADOPI_RA_2014-2015-44.jpeg,22,"(230, 230, 250)","(255, 250, 250)",3165,21972210,3832563,0.17,0
ONERC_Rapport_2010_villes_et_adaptation-42.jpeg,3,"(255, 250, 250)","(230, 230, 250)",4255,24175632,5406938,0.22,0
HADOPI_RA_2014-2015-11.jpeg,4,"(230, 230, 250)","(255, 250, 250)",3449,21972210,3238184,0.15,0
Apple_SR_2020_Progress_Report_FR-15.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2504,23375000,3413346,0.15,0
Apple_SR_2020_Progress_Report_FR-96.jpeg,6,"(245, 245, 220)","(250, 235, 215)",362,23375000,1619980,0.07,0
Risques et pollution programme immo Gardenia-8.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2444,24171498,2938670,0.12,0
data_detection_images_1-28.jpeg,4,"(248, 248, 255)","(255, 250, 250)",810,23375000,1106574,0.05,0
Diagnostics programme immo L'Etang la ville-34.jpeg,3,"(255, 250, 250)","(230, 230, 250)",6687,24171498,6639696,0.27,0
plan-actions-climat-energie-bd-98.jpeg,3,"(230, 230, 250)","(255, 250, 250)",1963,24171498,2178135,0.09,0
7750-147.jpeg,3,"(255, 250, 250)","(230, 230, 250)",1827,24171498,2551910,0.11,0
ONERC_Rapport_2010_villes_et_adaptation-143.jpeg,20,"(255, 250, 250)","(230, 230, 250)",2859,24175632,4808777,0.2,0
Apple_SR_2020_Progress_Report_FR-74.jpeg,7,"(245, 245, 220)","(250, 235, 215)",395,23375000,1734853,0.07,0
HADOPI_RA_2014-2015-150.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4030,21972210,3760589,0.17,0
data_detection_images_1-32.jpeg,6,"(248, 248, 255)","(230, 230, 250)",1343,23375000,3551017,0.15,0
ONERC_Rapport_2010_villes_et_adaptation-26.jpeg,26,"(255, 250, 250)","(230, 230, 250)",2796,24175632,4662406,0.19,0
ONERC_Rapport_2010_villes_et_adaptation-73.jpeg,3,"(255, 250, 250)","(230, 230, 250)",4186,24175632,8309859,0.34,0
7750-98.jpeg,11,"(255, 250, 250)","(230, 230, 250)",4957,24171498,5254867,0.22,0
adaptation-changement-climatique-fiches-collectivites-37.jpeg,28,"(47, 79, 79)","(230, 230, 250)",2868,24175632,8529661,0.35,0
plan-actions-climat-energie-bd-30.jpeg,14,"(230, 230, 250)","(250, 240, 230)",1506,24171498,2123915,0.09,0
Risques et pollution Programme immo  Clichy-32.jpeg,3,"(255, 250, 250)","(230, 230, 250)",1118,24171498,1735837,0.07,0
Apple_SR_2020_Progress_Report_FR-68.jpeg,3,"(255, 250, 250)","(230, 230, 250)",2427,23375000,2858468,0.12,0
ONERC_Rapport_2010_villes_et_adaptation-99.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3854,24175632,5068463,0.21,0
Apple_SR_2020_Progress_Report_FR-85.jpeg,3,"(255, 250, 250)","(230, 230, 250)",925,23375000,1228348,0.05,0
plan-actions-climat-energie-bd-137.jpeg,23,"(230, 230, 250)","(255, 250, 250)",2416,24171498,6744573,0.28,0
ONERC_Rapport_2010_villes_et_adaptation-61.jpeg,23,"(255, 250, 250)","(210, 180, 140)",2313,24175632,7049853,0.29,0
Apple_SR_2020_Progress_Report_FR-17.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3199,23375000,3946199,0.17,0
HADOPI_RA_2014-2015-93.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4067,21972210,3954068,0.18,0
ONERC_Rapport_2010_villes_et_adaptation-55.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3928,23375000,4899428,0.21,0
ONERC_Rapport_2010_villes_et_adaptation-150.jpeg,3,"(230, 230, 250)","(255, 250, 250)",3812,24175632,5598685,0.23,0
ONERC_Rapport_2010_villes_et_adaptation-8.jpeg,3,"(255, 250, 250)","(230, 230, 250)",4679,24175632,5832650,0.24,0
vol1_gicc-17.jpeg,3,"(255, 250, 250)","(230, 230, 250)",3083,24163936,15060897,0.62,0
plan-actions-climat-energie-bd-9.jpeg,10,"(230, 230, 250)","(250, 240, 230)",2512,24171498,6705540,0.28,0
WebbMediaKit-51.jpeg,4,"(255, 250, 250)","(230, 230, 250)",1111,23375000,1587850,0.07,0
HADOPI_RA_2014-2015-32.jpeg,3,"(230, 230, 250)","(255, 250, 250)",4188,21972210,3913522,0.18,0
7750-59.jpeg,5,"(255, 250, 250)","(230, 230, 250)",5411,24171498,5797514,0.24,0
Diagnostics programme immo L'Etang la ville-29.jpeg,3,"(255, 250, 250)","(230, 230, 250)",6598,24171498,5949367,0.25,0
